id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1125097,https://www.airbnb.com/rooms/1125097,20240226050743,2024-02-26,city scrape,Strathlyn Coach House Barossa,"Please note there is a minimum stay of 2 nights.<br />Make use of the new Gymnasium and Guest Laundry on the property.<br />Enjoy the location set among the vineyards.<br />Conveniently close to the town of Angaston, cafes, restaurants, wineries and  bike track.",Strathlyn Estate is a very private property surrounded by extensive gardens. It is off the main road located amongst vineyards within walking distance of Saltram Winery. The accommodation is 1 km from Angaston town where guests can access the start of the bike track that runs through the centre of the Barossa Valley to Gawler.,https://a0.muscache.com/pictures/16953708/b789c3ad_original.jpg,6172214,https://www.airbnb.com/users/show/6172214,Heather,2013-05-01,,I have been a long time resident of the Barossa Valley.I would be happy to provide you with information about local points of interest.,within a day,100%,100%,t,https://a0.muscache.com/im/users/6172214/profile_pic/1367919828/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/6172214/profile_pic/1367919828/original.jpg?aki_policy=profile_x_medium,,3,4,"['email', 'phone']",t,t,"Angaston, South Australia, Australia",Angaston,,-34.49563,139.0293,Entire cottage,Entire home/apt,2,1.0,1 bath,1,1,"[""Private entrance"", ""Air conditioning"", ""Backyard"", ""First aid kit"", ""Gym"", ""Hot water"", ""Hair dryer"", ""Stove"", ""TV"", ""Washer"", ""Hangers"", ""Patio or balcony"", ""Luggage dropoff allowed"", ""Refrigerator"", ""Fire extinguisher"", ""Dishes and silverware"", ""Coffee maker"", ""Free parking on premises"", ""Shampoo"", ""Smoke alarm"", ""Breakfast"", ""Bed linens"", ""Essentials"", ""Kitchen"", ""Extra pillows and blankets"", ""Iron"", ""Security cameras on property"", ""BBQ grill"", ""Dryer"", ""Heating"", ""Host greets you"", ""Cooking basics""]",$254.00,2,14,2,2,14,14,2.0,14.0,,t,22,46,74,349,2024-02-26,202,21,0,2013-09-13,2024-01-11,4.89,4.97,4.9,4.99,4.98,4.97,4.75,,f,3,2,1,0,1.59
1133195,https://www.airbnb.com/rooms/1133195,20240226050743,2024-02-26,city scrape,Strathlyn Lemon Tree Spa  Barossa,"Enjoy the charms of the Barossa Valley in this self contained cottage on the beautiful Strathlyn Estate located just out of Angaston.<br />If you are on an extended holiday, you have the convenience of a guest laundry on the property and a new Gymnasium.","Enjoy the tranquility of staying on the beautiful Strathlyn Estate, surrounded on all sides by historic vineyards.<br />Strathlyn Estate is within walking distance of Saltram Winery and the Farmers Market. The accommodation is 1 km from Angaston town where guests can access the start of the bike track that runs through the centre of the Barossa Valley to Gawler.",https://a0.muscache.com/pictures/17370883/ef4b46e7_original.jpg,6172214,https://www.airbnb.com/users/show/6172214,Heather,2013-05-01,,I have been a long time resident of the Barossa Valley.I would be happy to provide you with information about local points of interest.,within a day,100%,100%,t,https://a0.muscache.com/im/users/6172214/profile_pic/1367919828/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/6172214/profile_pic/1367919828/original.jpg?aki_policy=profile_x_medium,,3,4,"['email', 'phone']",t,t,"Angaston, South Australia, Australia",Angaston,,-34.49538,139.03086,Entire cottage,Entire home/apt,2,1.0,1 bath,1,1,"[""Private entrance"", ""Air conditioning"", ""Backyard"", ""First aid kit"", ""Gym"", ""Hot water"", ""Hair dryer"", ""Stove"", ""Hot tub"", ""TV"", ""Washer"", ""Hangers"", ""Patio or balcony"", ""Luggage dropoff allowed"", ""Refrigerator"", ""Fire extinguisher"", ""Dishes and silverware"", ""Coffee maker"", ""Free parking on premises"", ""Shampoo"", ""Smoke alarm"", ""Breakfast"", ""Bed linens"", ""Essentials"", ""Kitchen"", ""Extra pillows and blankets"", ""Iron"", ""BBQ grill"", ""Dryer"", ""Heating"", ""Cooking basics"", ""Microwave""]",$236.00,2,1125,2,2,1125,1125,2.0,1125.0,,t,22,52,82,357,2024-02-26,73,8,0,2014-09-30,2023-11-05,4.84,4.82,4.88,4.99,4.9,4.93,4.68,,f,3,2,1,0,0.64
1133236,https://www.airbnb.com/rooms/1133236,20240226050743,2024-02-26,city scrape,Strathlyn Spa Garden Suites Barossa,The spa garden suites are located on the eastern side of the main residence at Strathlyn Estate. They are very private with their own access from the garden. They are tastefully and comfortably furnished. Each features a luxury bathroom with spa.,Strathlyn Estate is a very private property surrounded by extensive gardens. It is off the main road located amongst vineyards within walking distance of Saltram Winery. The accommodation is 1 km from Angaston town where guests can access the start of the bike track that runs through the centre of the Barossa Valley to Gawler.,https://a0.muscache.com/pictures/17371242/8a9bd311_original.jpg,6172214,https://www.airbnb.com/users/show/6172214,Heather,2013-05-01,,I have been a long time resident of the Barossa Valley.I would be happy to provide you with information about local points of interest.,within a day,100%,100%,t,https://a0.muscache.com/im/users/6172214/profile_pic/1367919828/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/6172214/profile_pic/1367919828/original.jpg?aki_policy=profile_x_medium,,3,4,"['email', 'phone']",t,t,"Angaston, South Australia, Australia",Penrice,,-34.49372,139.03199,Private room in rental unit,Private room,2,1.0,1 private bath,1,1,"[""Lock on bedroom door"", ""Hangers"", ""Air conditioning"", ""Essentials"", ""Free parking on premises"", ""Gym"", ""Hot water"", ""Iron"", ""Hair dryer"", ""Shampoo"", ""Breakfast"", ""Hot tub"", ""Dryer"", ""TV"", ""Heating"", ""Washer""]",$260.00,1,1125,1,1,1125,1125,1.0,1125.0,,t,28,57,87,362,2024-02-26,64,4,0,2014-01-27,2023-11-05,4.89,4.92,4.89,4.95,4.92,4.92,4.64,,f,3,2,1,0,0.52
1710462,https://www.airbnb.com/rooms/1710462,20240226050743,2024-02-26,city scrape,Shea-Oak Log Studio Shed,"Our converted shed is a cozy and comfortable one bedroomed studio with glossy kitchen, granite bench tops, timber floors, shiny bathroom and large carpeted bedroom with a comfy queen bed. The studio has everything you could possibly need to have a wonderful and comfortable stay.<br />Located in western Barossa, just off the Sturt Hwy, minutes away from Barossa attractions and 50 minutes from Adelaide. Be Consumed-In the Barossa.","The Studio is located in a very unique area. There are no close by neighbouring houses, you are moments off of the Sturt Highway which leads you to the heart of the Barossa in 10 minutes and to Adelaide in 50 minutes. The studio is situated at the southern end of our property which is close to the Sturt Highway, this is great for access but you can hear the road noise from the studio. You are surrounded by the Barossa Ranges, vineyards and broadacre crops. No one will bother you here!",https://a0.muscache.com/pictures/miso/Hosting-1710462/original/2a15553d-684e-43cb-86a4-9d8261f21297.jpeg,6645956,https://www.airbnb.com/users/show/6645956,Kylie And Tom,2013-05-29,"Shea-Oak Log, Australia","We are a family of 4 who live, work and play in the Barossa Valley. We live on a small vineyard and make our own wine. We love the big outdoors, camping, the Murray river and doing things as a family. 
We are true locals and know the Barossa inside and out.
We live on the property but are far enough away to not bother you at all and let you enjoy yourselves but close enough if you have any problems.",within an hour,100%,100%,f,https://a0.muscache.com/im/users/6645956/profile_pic/1380189231/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/6645956/profile_pic/1380189231/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Shea-Oak Log, South Australia, Australia",Shea-Oak Log,,-34.51049,138.81731,Entire cabin,Entire home/apt,2,1.0,1 bath,1,1,"[""Private patio or balcony"", ""Dedicated workspace"", ""Private entrance"", ""Backyard"", ""Clothing storage: wardrobe and dresser"", ""Toaster"", ""Dining table"", ""Hot water"", ""Hair dryer"", ""Stove"", ""Laundromat nearby"", ""AC - split type ductless system"", ""Self check-in"", ""TV"", ""Baking sheet"", ""Hangers"", ""Luggage dropoff allowed"", ""Refrigerator"", ""Fire extinguisher"", ""Dishes and silverware"", ""Free parking on premises"", ""Shampoo"", ""Smoke alarm"", ""Outdoor furniture"", ""Room-darkening shades"", ""Freezer"", ""Bed linens"", ""Body soap"", ""Essentials"", ""Kitchen"", ""Extra pillows and blankets"", ""Iron"", ""Portable fans"", ""Books and reading material"", ""Heating"", ""Shower gel"", ""Conditioner"", ""Cleaning products"", ""Valley view"", ""Long term stays allowed"", ""Wine glasses"", ""Crib - available upon request"", ""Lockbox"", ""Hot water kettle"", ""Cooking basics"", ""Oven"", ""Microwave""]",$111.00,2,1125,2,2,1125,1125,2.0,1125.0,,t,0,0,0,0,2024-02-26,555,38,0,2013-11-03,2024-01-21,4.76,4.83,4.71,4.97,4.95,4.6,4.83,,f,1,1,0,0,4.42
1787389,https://www.airbnb.com/rooms/1787389,20240226050743,2024-02-26,city scrape,Barossa Valley Apt 1 offers 2 bedrooms 2 bathroom,"Luxury apartment on offer right in the heart of the Barossa Valley, Tanunda. 2 bedrooms 2 bathrooms, FREE WIFI, full kitchen with coffee machine, dishwasher, access to laundry, own spa bath, double shower, 1 King bed which can split to 2 singles and 1 queen. Access to swimming pool. Let us tour you as well. Great location to walk to restaurants, cafes and some wineries.<br /><br />We are also Tour Barossa so would love to help with all your wine touring needs, airport transfers and restaurant.",Barossa Valley is a beautiful community of people.,https://a0.muscache.com/pictures/6f510a54-811e-48af-bb20-7fa7a5e86dfc.jpg,9380091,https://www.airbnb.com/users/show/9380091,Kym,2013-10-12,"Somerton Park, Australia","love travel, love creating wonderful experiences, love wine, love food, love my 3 children",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/User-9380091/original/5f25e4ae-6331-4d57-a04f-503d2b9f4377.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-9380091/original/5f25e4ae-6331-4d57-a04f-503d2b9f4377.jpeg?aki_policy=profile_x_medium,,14,14,"['email', 'phone', 'work_email']",t,t,"Tanunda, South Australia, Australia",Tanunda,,-34.52737,138.953,Entire rental unit,Entire home/apt,4,2.0,2 baths,2,2,"[""Dedicated workspace"", ""Private entrance"", ""Air conditioning"", ""Backyard"", ""First aid kit"", ""Hot water"", ""Hair dryer"", ""Stove"", ""Hot tub"", ""Self check-in"", ""TV"", ""Washer"", ""Hangers"", ""Luggage dropoff allowed"", ""Refrigerator"", ""Fire extinguisher"", ""Dishes and silverware"", ""Coffee maker"", ""Free parking on premises"", ""Shampoo"", ""Smoke alarm"", ""Babysitter recommendations"", ""Bed linens"", ""Essentials"", ""Kitchen"", ""Extra pillows and blankets"", ""Iron"", ""BBQ grill"", ""Keypad"", ""Dryer"", ""Pool"", ""Heating"", ""High chair"", ""Wifi"", ""Long term stays allowed"", ""Dishwasher"", ""Pack \u2019n play/Travel crib"", ""Cooking basics"", ""Oven"", ""Microwave""]",$286.00,2,1125,1,3,7,1125,2.1,148.5,,t,16,37,62,252,2024-02-26,18,0,0,2016-01-05,2023-01-08,4.39,4.61,4.78,4.89,4.89,4.89,4.12,,f,14,12,2,0,0.18
2028951,https://www.airbnb.com/rooms/2028951,20240226050743,2024-02-26,city scrape,"2 bedrooms with Woodfire, Barossa Country Cottages","Relax as a couple, or with the whole family, at our peaceful cottage. Historic Lyndoch is the ideal place from which to experience the famous Barossa Valley.  The cottage is just a short 800 metres from the shops, bakery, and more. Restaurants and vineyards are within minutes. We supply free bicycles to explore the Barossa Cycling trails (Pre booking required). A second cottage is available on the site if you search airbnb for "" 2 bedroom family cottage - sleeps up to 6 "".",,https://a0.muscache.com/pictures/miso/Hosting-2028951/original/3bf45951-2894-4638-882c-a45cd1fd7068.jpeg,10421165,https://www.airbnb.com/users/show/10421165,Mark And Fiona,2013-12-04,"Lyndoch, Australia","Hi, We love hosting people at our cottages in the Barossa, both at the 1890s historic Barossa Hills Cottages in Springton, and these two bedroom family cottages at Lyndoch. In February 2022 the previous owners retired, and we have now refreshed the cottages - which are renowned throughout the Barossa as affordable family (& pet!) friendly accommodation.",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/ac9ad189-b8a2-448d-a071-8e40760ddf46.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/ac9ad189-b8a2-448d-a071-8e40760ddf46.jpg?aki_policy=profile_x_medium,,2,3,"['email', 'phone']",t,t,,Lyndoch,,-34.60392,138.88311,Entire vacation home,Entire home/apt,4,1.0,1 bath,2,2,"[""Indoor fireplace: wood-burning"", ""Dedicated workspace"", ""Private patio or balcony"", ""Air conditioning"", ""Free washer \u2013 In unit"", ""First aid kit"", ""Hair dryer"", ""Self check-in"", ""Crib"", ""Outdoor dining area"", ""Refrigerator"", ""Fire extinguisher"", ""Dishes and silverware"", ""Coffee maker"", ""Free parking on premises"", ""Smoke alarm"", ""Outdoor furniture"", ""Garden view"", ""Kitchen"", ""Iron"", ""BBQ grill"", ""Shared backyard \u2013 Fully fenced"", ""Heating"", ""High chair"", ""Wifi"", ""Pets allowed"", ""Pack \u2019n play/Travel crib"", ""32\"" HDTV"", ""Lockbox"", ""Cooking basics""]",$199.00,2,1125,2,3,2,1125,2.0,235.6,,t,20,42,69,308,2024-02-26,20,10,0,2022-04-10,2023-12-27,4.7,4.75,4.85,4.9,4.85,4.65,4.55,,t,2,2,0,0,0.87
2327616,https://www.airbnb.com/rooms/2327616,20240226050743,2024-02-26,city scrape,Gawler River Farm B and B.,"The comfortable, stylish, large one bedroom apartment is situated on a working sheep farm. Enjoy country life, night stars, birds at dawn. 30 min. to the Barossa Valley, 60 min. Clare Valley, 40 min. Adelaide CBD.<br />10 min. Gawler Gliding club.",The Gawler River area is the closest flat farming area to Adelaide. Studded with gum trees the farm land is park like. The view to the East is of the blue Mt Lofty ranges sweeping round to the Barossa Valley.,https://a0.muscache.com/pictures/6918de97-1185-446e-ac47-67c78a0a5a53.jpg,6713275,https://www.airbnb.com/users/show/6713275,Bill,2013-06-03,"Gawler River, Australia","My family have farmed in Gawler River since 1847. My farm runs the oldest Poll Dorset sheep stud in the world, I also grow cereal crops. Having lived in Gawler River all my live I have a detailed knowledge of the area, its history and attractions.
I enjoy traveling, meeting people and have many friends around the world. Especially through a long involvement with Rotary Youth Exchange.  ",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/327f5b26-5ce4-48cc-a34a-888dd6c54178.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/327f5b26-5ce4-48cc-a34a-888dd6c54178.jpg?aki_policy=profile_x_medium,,1,2,"['email', 'phone']",t,t,"Gawler River, South Australia, Australia",Gawler River,,-34.60549,138.64723,Entire guesthouse,Entire home/apt,3,1.0,1 bath,1,2,"[""Dedicated workspace"", ""First aid kit"", ""Hot water"", ""Hair dryer"", ""TV"", ""Crib"", ""Washer"", ""Hangers"", ""Luggage dropoff allowed"", ""Refrigerator"", ""Dishes and silverware"", ""Free parking on premises"", ""Shampoo"", ""Smoke alarm"", ""Breakfast"", ""Children\u2019s books and toys"", ""Bed linens"", ""Essentials"", ""Carbon monoxide alarm"", ""Extra pillows and blankets"", ""Iron"", ""Security cameras on property"", ""Shared patio or balcony"", ""BBQ grill"", ""Single level home"", ""Dryer"", ""Window AC unit"", ""Heating"", ""Shared backyard \u2013 Fully fenced"", ""Host greets you"", ""High chair"", ""Wifi"", ""Pack \u2019n play/Travel crib"", ""Microwave""]",$95.00,1,1125,1,1,1125,1125,1.0,1125.0,,t,26,51,81,354,2024-02-26,183,36,3,2015-02-17,2024-02-14,4.74,4.79,4.63,4.93,4.91,4.82,4.77,,f,1,1,0,0,1.67
2567051,https://www.airbnb.com/rooms/2567051,20240226050743,2024-02-26,city scrape,The Miners Cottage Barossa Valley,"The Miners Cottage is beautifully restored with modern comforts and old world charm. Open fire, gorgeous bathroom, comfy bed, peace and quiet, sleeps two. The Miners Barn, right next to the cottage, can be added to your booking to sleep an extra two people. Beautiful views from every aspect. <br />A booking for four will be in two seperate cottages- two in the Miners Cottage and two in the Barn. They are right next to each other.","Set in rural surrounds on the edge of the Barossa, 7 mins to Lyndoch, 10 mins to Gawler, 15 mins to Tanunda, 30 mins to Angaston. <br /><br />Tour the wineries, visit the farmers market, eat out, ride the Bike trail, fossick in an antique store...",https://a0.muscache.com/pictures/33850379/5f30c377_original.jpg,10726293,https://www.airbnb.com/users/show/10726293,Rebecca,2013-12-20,"Cockatoo Valley, Australia","Rebecca lives on the property with her husband and their 3 children.  They have a dog, cat, chooks, a duck and a few pet sheep.  Chances are you'll enjoy eggs fresh from the henhouse when you stay at The Miners Cottage!  ",within a few hours,100%,100%,f,https://a0.muscache.com/im/pictures/user/845c76d9-fe66-45b1-8424-ec5abfd5cd3a.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/845c76d9-fe66-45b1-8424-ec5abfd5cd3a.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,f,"Cockatoo Valley, South Australia, Australia",Cockatoo Valley,,-34.63808,138.84598,Private room in bed and breakfast,Private room,4,2.0,2 baths,2,2,"[""Backyard"", ""Air conditioning"", ""First aid kit"", ""Hot water"", ""Hair dryer"", ""Board games"", ""TV"", ""Washer"", ""Outdoor dining area"", ""Hangers"", ""Refrigerator"", ""Fire extinguisher"", ""Free parking on premises"", ""Shampoo"", ""Smoke alarm"", ""Outdoor furniture"", ""Breakfast"", ""Private pool"", ""Essentials"", ""Kitchen"", ""Iron"", ""BBQ grill"", ""Dryer"", ""Heating"", ""Host greets you"", ""High chair"", ""Pets allowed"", ""Long term stays allowed"", ""Pack \u2019n play/Travel crib"", ""Indoor fireplace""]",$210.00,2,1125,2,2,1125,1125,2.0,1125.0,,t,1,8,32,268,2024-02-26,32,1,0,2014-11-10,2023-08-22,4.84,4.88,4.91,5.0,4.94,4.84,4.75,,f,1,0,1,0,0.28
5289072,https://www.airbnb.com/rooms/5289072,20240226050743,2024-02-26,city scrape,Mt McKenzie Raspberry Farm,"If you long for a quiet retreat away from the crowds and close to nature, Mt McKenzie Raspberry Farm could be for you. Perched on the hills above the North Para River in the south eastern ranges of the Barossa, you will be serenaded with the tweets from native birds, bleets from lambs and mesmerised by stunning sunrises and sunsets.<br />When the riches of local food and wine are needed, wineries, markets, cheese shops, cafe's and restaurants are just a 10 minute drive.",The beauty of Mt McKenzie is location.<br />Close to all the facilities that the Barossa Valley offers while giving privacy and independence of a rural property.,https://a0.muscache.com/pictures/3937beca-2224-4dbb-9763-c53a753ba651.jpg,27321203,https://www.airbnb.com/users/show/27321203,Phillip,2015-02-06,,"",within a few hours,100%,77%,f,https://a0.muscache.com/im/pictures/user/0271fa82-a191-4771-b727-83da22836263.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/0271fa82-a191-4771-b727-83da22836263.jpg?aki_policy=profile_x_medium,,1,2,"['email', 'phone']",t,t,"Mount McKenzie, South Australia, Australia",Flaxman Valley,,-34.56405,139.07988,Entire cabin,Entire home/apt,6,2.0,2 baths,3,3,"[""Private patio or balcony"", ""Dedicated workspace"", ""Private entrance"", ""Air conditioning"", ""First aid kit"", ""Hot water"", ""Hair dryer"", ""Stove"", ""TV"", ""Washer"", ""Hangers"", ""Refrigerator"", ""Fire extinguisher"", ""Dishes and silverware"", ""Free parking on premises"", ""Shampoo"", ""Smoke alarm"", ""Outdoor furniture"", ""Bed linens"", ""Essentials"", ""Kitchen"", ""Extra pillows and blankets"", ""Iron"", ""BBQ grill"", ""Single level home"", ""Heating"", ""Host greets you"", ""Valley view"", ""Dishwasher"", ""Indoor fireplace"", ""Private backyard \u2013 Fully fenced"", ""Cooking basics"", ""Oven"", ""Microwave""]",$220.00,3,200,3,3,200,200,3.0,200.0,,t,9,13,25,188,2024-02-26,127,4,1,2015-10-26,2024-02-23,4.94,4.95,4.94,4.98,4.98,4.96,4.91,,f,1,1,0,0,1.25
5426792,https://www.airbnb.com/rooms/5426792,20240226050743,2024-02-26,city scrape,"""The Shed""","At first glance, yes it's a shed. But explore further and you will find an unique Aussie experience, a fully functional self contained room. Shower, toilet and kitchenette. All private and seperate from our house. It's normally used for overnighters by family and friends. Please be open minded in your expectations, it's not the Ritz, Hilton, Taj Mahal but what it is clean, tidy, private affordable accomadation. Single or couple.",Our residence is in a quiet street. We have lived at the same address for over 20yrs. We have a very safe neighbourhood and we have a good relationship with our neighbour's.,https://a0.muscache.com/pictures/172a05ef-ad1d-40cc-8041-5f42f7c28921.jpg,28149709,https://www.airbnb.com/users/show/28149709,Andrew & Belinda,2015-02-22,"Nuriootpa, Australia","My wife and I regard ourselves as very sociable people. I myself am an avid home brewer and love fine wine and social gatherings. Married since 1992 and have two teenage kids. Born and lived in the Barossa all my life with strong family ties and local knowledge. I work within the wine industry. Enjoy open air concerts, having been to numerous ""Day On The Green"" concerts. Love all types of music 80's to current day trends.
I have a favourite saying, 
""We are on this planet for a good time not a long time""",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/62590d58-3386-4ed5-a68d-a61a93801b36.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/62590d58-3386-4ed5-a68d-a61a93801b36.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Nuriootpa, South Australia, Australia",Nuriootpa,,-34.46333,139.00032,Entire guesthouse,Entire home/apt,2,1.0,1 bath,1,1,"[""Free street parking"", ""Backyard"", ""Central air conditioning"", ""Hot water"", ""Laundromat nearby"", ""Self check-in"", ""TV"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Free parking on premises"", ""Smoke alarm"", ""Smoking allowed"", ""Bed linens"", ""Essentials"", ""Body soap"", ""Kitchen"", ""Mini fridge"", ""Security cameras on property"", ""Heating"", ""Wifi"", ""Long term stays allowed"", ""Cleaning products"", ""Lockbox"", ""Cooking basics"", ""Microwave""]",$67.00,1,35,1,1,1125,1125,1.0,1125.0,,t,0,0,0,248,2024-02-26,170,18,0,2015-11-23,2023-12-26,4.79,4.95,4.91,4.97,4.98,4.9,4.87,,t,1,1,0,0,1.69
